Unnamed: 0,Language,Party,Post,Username,prediction
0,hi,AAP,Party Handle,AamAadmiParty,2
198,other,INC,Party Handle,INCIndia,2
70,mr,AAP,Party Handle,AamAadmiParty,0
197,other,INC,Party Handle,INCIndia,0
69,hi,AAP,Party Handle,AamAadmiParty,0
73,mr,AAP,Party Handle,AamAadmiParty,0
200,hi,INC,Party Handle,INCIndia,0
72,hi,AAP,Party Handle,AamAadmiParty,0
199,other,INC,Party Handle,INCIndia,2
71,hi,AAP,Party Handle,AamAadmiParty,2
192,hi,INC,Party Handle,INCIndia,2
191,mr,INC,Party Handle,INCIndia,0
63,hi,AAP,Party Handle,AamAadmiParty,0
65,hi,AAP,Party Handle,AamAadmiParty,2
193,hi,INC,Party Handle,INCIndia,0
195,mr,INC,Party Handle,INCIndia,0
67,mr,AAP,Party Handle,AamAadmiParty,0
194,mr,INC,Party Handle,INCIndia,0
66,mr,AAP,Party Handle,AamAadmiParty,0
201,hi,INC,Party Handle,INCIndia,2
208,hi,INC,Party Handle,INCIndia,2
80,hi,AAP,Party Handle,AamAadmiParty,0
207,other,INC,Party Handle,INCIndia,2
79,hi,AAP,Party Handle,AamAadmiParty,0
83,mr,AAP,Party Handle,AamAadmiParty,0
81,hi,AAP,Party Handle,AamAadmiParty,0
82,hi,AAP,Party Handle,AamAadmiParty,0
206,hi,INC,Party Handle,INCIndia,2
203,en,INC,Party Handle,INCIndia,0
75,hi,AAP,Party Handle,AamAadmiParty,2
78,mr,AAP,Party Handle,AamAadmiParty,0
202,other,INC,Party Handle,INCIndia,0
74,en,AAP,Party Handle,AamAadmiParty,0
205,other,INC,Party Handle,INCIndia,1
77,mr,AAP,Party Handle,AamAadmiParty,0
204,hi,INC,Party Handle,INCIndia,2
76,hi,AAP,Party Handle,AamAadmiParty,0
43,hi,AAP,Party Handle,AamAadmiParty,0
49,hi,AAP,Party Handle,AamAadmiParty,0
177,hi,INC,Party Handle,INCIndia,2
176,hi,INC,Party Handle,INCIndia,2
50,mr,AAP,Party Handle,AamAadmiParty,1
178,hi,INC,Party Handle,INCIndia,0
180,en,INC,Party Handle,INCIndia,2
179,other,INC,Party Handle,INCIndia,0
51,hi,AAP,Party Handle,AamAadmiParty,0
172,en,BJP,Party Handle,BJP4India,0
173,hi,BJP,Party Handle,BJP4India,0
45,hi,AAP,Party Handle,AamAadmiParty,0
